Date,Month,Starting Balance,Ending Balance,Profit ($),Return (%),Max DD (%),Trades,Win Rate (%),Current Volume,Profit Factor,Status
2026-01-01,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-02,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-03,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-04,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-05,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-06,2026-01,100000.0,100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-07,2026-01,100000.0,98754.25,-1245.75,-1.25,0.75,2,0.0,0.52,0.0,❌ Loss
2026-01-08,2026-01,98754.25,98507.61,-246.64,-0.25,1.25,1,0.0,0.1,0.0,❌ Loss
2026-01-09,2026-01,98507.61,98670.6,162.99,0.17,1.49,2,50.0,0.22,1.66,✅ Profitable
2026-01-10,2026-01,98670.6,98670.6,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-11,2026-01,98670.6,99081.32,410.72,0.42,1.33,1,100.0,0.1,410.72,✅ Profitable
2026-01-12,2026-01,99081.32,99906.17,824.85,0.83,0.92,1,100.0,0.16,824.85,✅ Profitable
2026-01-13,2026-01,99906.17,99906.17,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-14,2026-01,99906.17,99906.17,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-15,2026-01,99906.17,99906.17,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-16,2026-01,99906.17,98661.58,-1244.59,-1.25,0.84,2,0.0,0.42,0.0,❌ Loss
2026-01-17,2026-01,98661.58,98661.58,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-18,2026-01,98661.58,98661.58,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-19,2026-01,98661.58,98415.17,-246.41,-0.25,1.34,1,0.0,0.08,0.0,❌ Loss
2026-01-20,2026-01,98415.17,98578.79,163.62,0.17,1.58,1,100.0,0.02,163.62,✅ Profitable
2026-01-21,2026-01,98578.79,100720.42,2141.63,2.17,1.42,5,80.0,0.72,3.81,✅ Profitable
2026-01-22,2026-01,100720.42,104113.77,3393.35,3.37,0.75,3,100.0,0.61,3393.35,✅ Profitable
2026-01-23,2026-01,104113.77,105415.19,1301.42,1.25,0.0,1,100.0,0.23,1301.42,✅ Profitable
2026-01-24,2026-01,105415.19,105415.19,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-01-25,2026-01,105415.19,106732.88,1317.69,1.25,0.0,1,100.0,0.25,1317.69,✅ Profitable
2026-01-26,2026-01,106732.88,109417.88,2685.0,2.52,0.0,2,100.0,0.42,2685.0,✅ Profitable
2026-01-27,2026-01,109417.88,110785.6,1367.72,1.25,0.0,1,100.0,0.18,1367.72,✅ Profitable
2026-01-28,2026-01,110785.6,117884.98,7099.38,6.41,0.0,5,100.0,0.87,7099.38,✅ Profitable
2026-01-29,2026-01,117884.98,117871.63,-13.35,-0.01,0.75,3,33.3,0.3,0.99,❌ Loss
2026-01-30,2026-01,117871.63,118066.67,195.04,0.17,1.49,2,50.0,0.04,1.66,✅ Profitable
2026-01-31,2026-01,118066.67,118066.67,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-01,2026-02,118066.67,118066.67,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-02,2026-02,118066.67,118558.12,491.45,0.42,1.08,1,100.0,0.02,491.45,✅ Profitable
2026-02-03,2026-02,118558.12,119545.12,987.0,0.83,0.67,1,100.0,0.03,987.0,✅ Profitable
2026-02-04,2026-02,119545.12,117955.15,-1589.97,-1.33,1.25,4,25.0,0.33,0.24,❌ Loss
2026-02-05,2026-02,117955.15,117757.27,-197.88,-0.17,1.66,4,50.0,0.09,0.66,❌ Loss
2026-02-06,2026-02,117757.27,117463.17,-294.1,-0.25,1.5,1,0.0,0.04,0.0,❌ Loss
2026-02-07,2026-02,117463.17,117463.17,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-08,2026-02,117463.17,117463.17,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-09,2026-02,117463.17,117658.45,195.28,0.17,1.74,1,100.0,0.01,195.28,✅ Profitable
2026-02-10,2026-02,117658.45,117658.45,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-11,2026-02,117658.45,117658.45,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-12,2026-02,117658.45,117541.09,-117.36,-0.1,1.58,1,0.0,0.02,0.0,❌ Loss
2026-02-13,2026-02,117541.09,117423.84,-117.25,-0.1,1.68,1,0.0,0.02,0.0,❌ Loss
2026-02-14,2026-02,117423.84,117423.84,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
2026-02-15,2026-02,117423.84,117423.84,0.0,0.0,0.0,0,0.0,0.0,0.0,⏸️ Inactive
