Month,Profit ($),Return (%),Max DD (%),Win Rate (%),Profit Factor,Prop Pass,Ending Balance
2020-03,-1500.0,-1.5,0.0,0.0,0.0,❌ Fail,98500.0
2020-04,1384.27,1.41,1.5,33.3,1.5,⚠️ Review,99884.27
2020-07,15410.35,15.43,2.68,100.0,15410.35,✅ Pass,115294.62
2020-08,-706.29,-0.61,5.0,14.3,0.9,❌ Fail,114588.33
2020-09,-687.53,-0.6,5.57,0.0,0.0,❌ Fail,113900.8
2020-11,-374.08,-0.33,8.37,20.0,0.86,❌ Fail,113526.72
2020-12,-4026.14,-3.55,9.22,0.0,0.0,❌ Fail,109500.58
2021-01,-1665.42,-1.52,10.6,14.3,0.58,❌ Fail,107835.16
2021-02,3902.16,3.62,11.67,66.7,7.03,⚠️ Review,111737.32
2021-03,305.27,0.27,7.92,25.0,1.15,⚠️ Review,112042.59
2021-04,-672.26,-0.6,7.67,0.0,0.0,❌ Fail,111370.33
2021-05,4030.09,3.62,8.22,66.7,6.91,⚠️ Review,115400.42
2021-06,1013.77,0.88,6.04,33.3,1.73,⚠️ Review,116414.19
2021-08,-1082.75,-0.93,4.38,20.0,0.69,❌ Fail,115331.44
2021-09,1013.16,0.88,5.53,33.3,1.73,⚠️ Review,116344.6
2021-10,-5468.67,-4.7,8.08,0.0,0.0,❌ Fail,110875.93
2021-11,974.01,0.88,9.18,33.3,1.73,⚠️ Review,111849.94
2021-12,-1338.17,-1.2,8.38,0.0,0.0,❌ Fail,110511.77
2022-01,-663.07,-0.6,8.93,0.0,0.0,❌ Fail,109848.7
2022-02,2613.24,2.38,10.56,40.0,2.31,⚠️ Review,112461.94
2022-03,987.95,0.88,7.32,33.3,1.72,⚠️ Review,113449.89
2022-04,309.96,0.27,6.51,25.0,1.15,⚠️ Review,113759.85
2022-05,999.36,0.88,6.25,33.3,1.72,⚠️ Review,114759.21
2022-06,-3401.72,-2.96,7.68,0.0,0.0,❌ Fail,111357.49
2022-07,2649.14,2.38,8.23,40.0,2.28,⚠️ Review,114006.63
2022-08,1001.52,0.88,7.17,33.3,1.73,⚠️ Review,115008.15
2022-09,2020.98,1.76,5.22,50.0,1.71,⚠️ Review,117029.13
2022-10,-2783.51,-2.38,5.28,0.0,0.0,❌ Fail,114245.62
2022-11,312.12,0.27,6.42,25.0,1.15,⚠️ Review,114557.74
2022-12,2405.71,2.1,5.6,100.0,2405.71,⚠️ Review,116963.45
2023-01,7471.86,6.39,3.61,100.0,7471.86,⚠️ Review,124435.31
2023-02,-3337.36,-2.68,1.5,0.0,0.0,❌ Fail,121097.95
2023-03,1059.36,0.87,3.85,50.0,1.73,⚠️ Review,122157.31
2023-04,5130.61,4.2,1.83,100.0,5130.61,⚠️ Review,127287.92
2023-05,-4900.35,-3.85,2.68,0.0,0.0,❌ Fail,122387.57
2023-06,1075.14,0.88,5.0,33.3,1.73,⚠️ Review,123462.71
2023-07,-740.78,-0.6,3.01,0.0,0.0,❌ Fail,122721.93
2023-08,-1468.24,-1.2,4.17,0.0,0.0,❌ Fail,121253.69
2023-09,-3272.78,-2.7,9.22,11.1,0.43,❌ Fail,117980.91
2023-10,2806.71,2.38,7.31,40.0,2.3,⚠️ Review,120787.62
2023-11,2536.54,2.1,5.11,100.0,2536.54,⚠️ Review,123324.16
2023-12,-3337.41,-2.71,5.17,14.3,0.44,❌ Fail,119986.75
2024-01,-2146.83,-1.79,6.86,0.0,0.0,❌ Fail,117839.92
2024-02,-2802.81,-2.38,9.08,0.0,0.0,❌ Fail,115037.11
2024-03,4162.77,3.62,9.62,66.7,6.91,⚠️ Review,119199.88
2024-04,3567.86,2.99,6.35,66.7,3.39,⚠️ Review,122767.74
2024-05,-3639.11,-2.96,5.85,0.0,0.0,❌ Fail,119128.63
2024-06,-3531.22,-2.96,8.64,0.0,0.0,❌ Fail,115597.41
2024-07,-1070.97,-0.93,10.27,16.7,0.69,❌ Fail,114526.44
2024-08,312.89,0.27,10.03,25.0,1.15,⚠️ Review,114839.33
2024-09,6654.52,5.79,9.78,75.0,10.07,⚠️ Review,121493.85
2024-10,1067.3,0.88,5.69,33.3,1.73,⚠️ Review,122561.15
2024-11,-4023.58,-3.28,6.31,10.0,0.39,❌ Fail,118537.57
2024-12,-2120.91,-1.79,7.99,0.0,0.0,❌ Fail,116416.66
2025-01,1731.58,1.49,9.09,50.0,3.48,⚠️ Review,118148.24
2025-02,3540.81,3.0,7.18,50.0,3.4,⚠️ Review,121689.05
2025-03,7773.74,6.39,4.4,100.0,7773.74,⚠️ Review,129462.79
2025-04,-3176.68,-2.45,5.0,25.0,0.62,❌ Fail,126286.11
2025-05,-3008.18,-2.38,4.2,0.0,0.0,❌ Fail,123277.93
2025-09,14760.79,11.97,4.78,100.0,14760.79,⚠️ Review,138038.72
2025-10,16706.53,12.1,2.68,50.0,3.7,✅ Pass,154745.25
2025-11,-3680.59,-2.38,5.57,0.0,0.0,❌ Fail,151064.66
2025-12,3588.11,2.38,6.14,50.0,2.27,⚠️ Review,154652.77
2026-01,20417.92,13.2,3.91,66.7,4.98,✅ Pass,175070.69
2026-02,-6221.07,-3.55,4.43,0.0,0.0,❌ Fail,168849.62
